filename,text
,
1,"I'm confused: when people ask me what's up, and I point, they groan."
2,"It dawned on her that others could make her happier, but only she could make herself happy."
3,i hear that Nancy is very pretty
4,That must be the tenth time I've been arrested for selling deep-fried cigars.
5,Be careful with that butter knife.
6,He was sitting in a trash can with high street class.
7,A song can make or ruin a person’s day if they let it get to them.
8,He found rain fascinating yet unpleasant.
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
